mem_pos,value,logical_label
487,847282014,505
488,446756026,410
489,332524224,442
490,1034724707,474
491,983599390,506
492,545876278,411
493,60705543,443
494,994958699,475
495,716879899,507
496,906834149,412
497,352467515,444
498,421172547,476
499,993052412,508
500,4208462,413
501,48133071,445
502,651536594,477
503,525660260,509
504,608137056,414
505,296197236,446
506,162923788,478
507,242012745,510
508,974557314,415
509,273713969,447
510,178266761,479
511,781004453,511
